Agilent Technologies Inc. Common Stock,112.64,179.57
Alcoa Corporation Common Stock ,31,98.09
Ares Acquisition Corporation Class A Ordinary Shares,9.66,9.87
ATA Creativity Global American Depositary Shares,0.88,4.75
Armada Acquisition Corp. I Common Stock,9.34,9.99
Aadi Bioscience Inc. Common Stock,11,49.8
Arlington Asset Investment Corp 6.000% Senior Notes Due 2026,22.6,25.95
American Airlines Group Inc. Common Stock,12.44,26.04
Altisource Asset Management Corp Com,8.78,31.89
Atlantic American Corporation Common Stock,2.12,5.7
Aarons Holdings Company Inc. Common Stock ,17.26,37.49
Applied Optoelectronics Inc. Common Stock,2.01,9.25
AAON Inc. Common Stock,47.5,83.79
Advance Auto Parts Inc.,176.72,244.55
Apple Inc. Common Stock,123.13,182.94
Accelerate Acquisition Corp. Class A Common Stock,9.6,9.92
American Assets Trust Inc. Common Stock,30.97,40.83
Autoscope Technologies Corporation Common Stock,5.06,9.36
Almaden Minerals Ltd. Common Shares,0.27,0.57
Atlas Air Worldwide Holdings NEW Common Stock,62.13,97.13
AllianceBernstein Holding L.P.  Units,,
ABB Ltd Common Stock,27.74,39.11
AbbVie Inc. Common Stock,105.56,175.91
AmerisourceBergen Corporation Common Stock,111.34,167.19
Ameris Bancorp Common Stock,39.67,59.85
AbCellera Biologics Inc. Common Shares,5.42,33.64
Abcam plc American Depositary Shares,12.54,24
Abeona Therapeutics Inc. Common Stock,0.13,1.92
Ambev S.A. American Depositary Shares (Each representing 1 Common Share),2.5,3.95
Asbury Automotive Group Inc Common Stock,146.43,230.97
ABG Acquisition Corp. I Class A Ordinary Shares,9.61,9.99
ARCA biopharma Inc. Common Stock,1.71,3.9
ABM Industries Incorporated Common Stock,38.44,54
ABIOMED Inc. Common Stock,226.46,379.3
Airbnb Inc. Class A Common Stock,107.45,212.58
Acumen Pharmaceuticals Inc. Common Stock,3.02,26.98
Arbor Realty Trust Common Stock,15.55,20.74
Absci Corporation Common Stock,3.32,31.53
Absolute Software Corporation Common Stock,6.79,14.58
Abbott Laboratories Common Stock,104.63,142.6
Allegiance Bancshares Inc. Common Stock,34.3,46
Arbutus Biopharma Corporation Common Stock,1.93,6.5
ABVC BioPharma Inc. Common Stock,1.95,11.69
Arcosa Inc. Common Stock ,43.42,64.5
Atlantic Coastal Acquisition Corp. II Class A Common Stock,9.87,10.01
Atlantic Coastal Acquisition Corp. II Unit,9.94,10.1
ACADIA Pharmaceuticals Inc. Common Stock,15.16,28.06
Atlantic Coastal Acquisition Corp. Class A Common Stock,9.61,9.96
Atlantic Coastal Acquisition Corp. Warrant,,
Athena Consumer Acquisition Corp. Class A Common Stock,9.85,10.26
Alset Capital Acquisition Corp. Class A Common Stock,9.8,9.93
Alset Capital Acquisition Corp. Right,,
Alset Capital Acquisition Corp. Unit,9.94,10.17
Aurora Cannabis Inc. Common Shares,2.2,10.64
Ace Global Business Acquisition Limited Ordinary Shares,9.7,12
Ace Global Business Acquisition Limited Warrant,,
American Campus Communities Inc Common Stock,45.75,65.02
Accolade Inc. Common Stock,4.61,55.47
Acco Brands Corporation Common Stock,6.96,9.76
Accel Entertainment Inc. ,10.01,14.1
Acer Therapeutics Inc. Common Stock (DE),1.68,3.77
Adicet Bio Inc. Common Stock ,6.25,21.17
ACE Convergence Acquisition Corp. Class A Ordinary Shares,9.63,10.37
ACE Convergence Acquisition Corp. Unit,9.45,11.89
ACE Convergence Acquisition Corp. Warrant,,
Arch Capital Group Ltd. Common Stock,36.53,50.73
Arch Capital Group Ltd. Depositary Shares each Representing a 1/1000th Interest in a 4.550% Non-Cumulative Preferred Share Series G,17.96,26.76
Arch Capital Group Ltd. Depositary Shares Each Representing 1/1000th Interest in a Share of 5.45% Non-Cumulative Preferred Shares Series F,21.48,26.92
Aluminum Corporation of China Limited American Depositary Shares,9,23.9
